iter	Passed	Remaining
0	144	144832
1	149	74456
2	153	50965
3	158	39437
4	164	32655
5	169	28036
6	174	24768
7	178	22167
8	183	20178
9	187	18591
10	192	17291
11	196	16165
12	202	15366
13	207	14593
14	212	13954
15	217	13398
16	222	12885
17	227	12385
18	232	11980
19	236	11595
20	242	11315
21	246	10976
22	252	10717
23	256	10430
24	261	10190
25	265	9960
26	270	9760
27	275	9549
28	280	9377
29	284	9203
30	289	9041
31	293	8878
32	299	8766
33	304	8639
34	309	8531
35	313	8399
36	318	8291
37	322	8171
38	327	8070
39	332	7977
40	336	7872
41	340	7770
42	346	7703
43	350	7615
44	357	7579
45	364	7550
46	368	7479
47	373	7415
48	378	7347
49	383	7282
50	387	7208
51	392	7156
52	397	7104
53	404	7093
54	410	7059
55	416	7023
56	422	6995
57	427	6949
58	433	6919
59	440	6902
60	445	6858
61	451	6824
62	456	6782
63	461	6749
64	466	6713
65	471	6672
66	476	6631
67	481	6596
68	487	6575
69	493	6550
70	499	6539
71	509	6569
72	515	6541
73	519	6506
74	525	6475
75	530	6444
76	535	6424
77	540	6390
78	545	6355
79	550	6336
80	557	6323
81	562	6299
82	567	6273
83	572	6246
84	577	6220
85	583	6201
86	588	6172
87	593	6149
88	599	6134
89	604	6116
90	609	6090
91	615	6074
92	620	6055
93	625	6032
94	631	6019
95	636	5996
96	641	5971
97	646	5947
98	651	5928
99	655	5902
100	660	5882
101	665	5858
102	669	5832
103	674	5807
104	679	5793
105	683	5767
106	688	5746
107	693	5723
108	699	5720
109	704	5698
110	708	5677
111	714	5661
112	719	5646
113	723	5622
114	729	5614
115	733	5591
116	738	5577
117	744	5566
118	749	5549
119	753	5528
120	759	5516
121	763	5494
122	768	5478
123	772	5458
124	778	5450
125	783	5431
126	787	5416
127	792	5401
128	797	5386
129	802	5367
130	809	5372
131	817	5378
132	824	5375
133	830	5364
134	836	5361
135	841	5349
136	848	5344
137	857	5358
138	863	5347
139	868	5336
140	876	5339
141	882	5331
142	921	5525
143	928	5516
144	938	5535
145	959	5612
146	973	5646
147	983	5661
148	990	5656
149	995	5643
150	1003	5641
151	1011	5640
152	1018	5639
153	1025	5632
154	1031	5625
155	1038	5619
156	1047	5622
157	1056	5630
158	1066	5639
159	1071	5625
160	1077	5614
161	1083	5604
162	1088	5590
163	1096	5591
164	1103	5582
165	1108	5571
166	1117	5573
167	1124	5570
168	1133	5572
169	1144	5586
170	1154	5594
171	1160	5586
172	1166	5575
173	1171	5561
174	1177	5552
175	1183	5539
176	1188	5525
177	1194	5517
178	1203	5517
179	1210	5514
180	1216	5503
181	1223	5499
182	1233	5506
183	1240	5502
184	1248	5500
185	1257	5501
186	1269	5518
187	1276	5515
188	1281	5498
189	1288	5493
190	1293	5480
191	1298	5464
192	1304	5454
193	1309	5440
194	1313	5424
195	1319	5411
196	1325	5400
197	1331	5394
198	1338	5389
199	1343	5375
200	1348	5360
201	1355	5354
202	1360	5341
203	1365	5327
204	1371	5318
205	1377	5308
206	1385	5307
207	1390	5293
208	1394	5278
209	1401	5273
210	1407	5261
211	1412	5248
212	1417	5236
213	1422	5225
214	1427	5211
215	1432	5200
216	1438	5190
217	1443	5176
218	1447	5162
219	1453	5151
220	1459	5142
221	1463	5130
222	1469	5118
223	1473	5104
224	1478	5091
225	1482	5077
226	1487	5064
227	1491	5051
228	1496	5039
229	1500	5024
230	1505	5012
231	1510	4998
232	1513	4983
233	1518	4972
234	1524	4962
235	1530	4954
236	1535	4942
237	1539	4929
238	1544	4917
239	1548	4904
240	1553	4891
241	1557	4879
242	1562	4866
243	1566	4854
244	1571	4844
245	1577	4835
246	1583	4826
247	1587	4815
248	1592	4804
249	1597	4793
250	1603	4784
251	1607	4771
252	1612	4761
253	1617	4751
254	1622	4741
255	1627	4729
256	1632	4720
257	1638	4711
258	1644	4704
259	1650	4696
260	1655	4686
261	1661	4680
262	1666	4670
263	1672	4661
264	1677	4652
265	1682	4641
266	1686	4630
267	1691	4620
268	1695	4608
269	1700	4598
270	1705	4587
271	1710	4577
272	1717	4574
273	1723	4566
274	1728	4557
275	1733	4546
276	1738	4538
277	1743	4527
278	1748	4518
279	1753	4508
280	1758	4498
281	1762	4487
282	1768	4479
283	1772	4468
284	1777	4459
285	1781	4448
286	1786	4439
287	1792	4430
288	1797	4421
289	1801	4411
290	1807	4402
291	1811	4392
292	1816	4384
293	1821	4373
294	1826	4365
295	1831	4355
296	1836	4346
297	1840	4336
298	1845	4327
299	1850	4317
300	1856	4310
301	1861	4302
302	1867	4295
303	1873	4289
304	1878	4281
305	1884	4273
306	1888	4262
307	1894	4257
308	1899	4247
309	1904	4237
310	1910	4232
311	1916	4225
312	1922	4218
313	1926	4209
314	1931	4201
315	1936	4191
316	1941	4183
317	1946	4174
318	1951	4165
319	1955	4155
320	1961	4150
321	1966	4140
322	1971	4131
323	1977	4125
324	1981	4115
325	1986	4106
326	1990	4097
327	1995	4087
328	1999	4078
329	2004	4069
330	2009	4060
331	2013	4051
332	2018	4042
333	2022	4033
334	2027	4025
335	2032	4015
336	2037	4007
337	2041	3998
338	2046	3990
339	2050	3980
340	2055	3972
341	2060	3963
342	2066	3958
343	2071	3951
344	2077	3943
345	2083	3938
346	2088	3930
347	2093	3921
348	2097	3912
349	2104	3909
350	2109	3901
351	2114	3893
352	2119	3884
353	2124	3876
354	2128	3867
355	2133	3860
356	2138	3851
357	2144	3845
358	2148	3835
359	2154	3829
360	2160	3825
361	2165	3816
362	2171	3809
363	2176	3802
364	2181	3795
365	2186	3786
366	2191	3780
367	2196	3771
368	2202	3765
369	2207	3759
370	2211	3750
371	2217	3743
372	2224	3738
373	2230	3732
374	2234	3724
375	2240	3717
376	2245	3710
377	2250	3703
378	2256	3697
379	2261	3689
380	2267	3683
381	2271	3674
382	2277	3669
383	2282	3661
384	2287	3653
385	2291	3645
386	2300	3644
387	2306	3638
388	2313	3633
389	2318	3626
390	2324	3620
391	2336	3623
392	2340	3615
393	2347	3611
394	2354	3606
395	2363	3605
396	2369	3598
397	2374	3592
398	2381	3587
399	2386	3579
400	2392	3574
401	2397	3566
402	2403	3559
403	2408	3552
404	2414	3546
405	2418	3538
406	2424	3532
407	2429	3525
408	2433	3516
409	2439	3510
410	2444	3502
411	2449	3495
412	2453	3487
413	2459	3481
414	2463	3472
415	2470	3467
416	2474	3460
417	2480	3453
418	2486	3448
419	2492	3442
420	2499	3437
421	2506	3432
422	2510	3424
423	2514	3415
424	2520	3409
425	2525	3402
426	2529	3393
427	2534	3387
428	2540	3381
429	2545	3373
430	2549	3366
431	2555	3360
432	2559	3351
433	2565	3345
434	2570	3338
435	2576	3332
436	2580	3323
437	2586	3318
438	2591	3311
439	2595	3303
440	2604	3301
441	2608	3293
442	2615	3288
443	2620	3281
